year,round,ConstructorId,points,status
2010,1,ferrari,25,Finished
2010,1,ferrari,18,Finished
2010,1,mclaren,15,Finished
2010,1,red_bull,12,Finished
2010,1,mercedes,10,Finished
2010,1,mercedes,8,Finished
2010,1,mclaren,6,Finished
2010,1,red_bull,4,Finished
2010,1,force_india,2,Finished
2010,1,williams,1,Finished
2010,1,renault,0,Finished
2010,1,force_india,0,Finished
2010,1,toro_rosso,0,Finished
2010,1,williams,0,+1 Lap
2010,1,lotus_racing,0,+2 Laps
2010,1,toro_rosso,0,Electrical
2010,1,lotus_racing,0,Hydraulics
2010,1,sauber,0,Hydraulics
2010,1,hrt,0,Overheating
2010,1,virgin,0,Gearbox
2010,1,renault,0,Suspension
2010,1,sauber,0,Hydraulics
2010,1,virgin,0,Hydraulics
2010,1,hrt,0,Accident
2011,1,red_bull,25,Finished
2011,1,mclaren,18,Finished
2011,1,renault,15,Finished
2011,1,ferrari,12,Finished
2011,1,red_bull,10,Finished
2011,1,mclaren,8,Finished
2011,1,ferrari,6,Finished
2011,1,toro_rosso,4,+1 Lap
2011,1,force_india,2,+1 Lap
2011,1,force_india,1,+1 Lap
2011,1,toro_rosso,0,+1 Lap
2011,1,renault,0,+1 Lap
2011,1,lotus_racing,0,+2 Laps
2011,1,virgin,0,+4 Laps
2011,1,virgin,0,+9 Laps
2011,1,williams,0,Transmission
2011,1,mercedes,0,Collision
2011,1,lotus_racing,0,Water leak
2011,1,mercedes,0,Collision
2011,1,williams,0,Transmission
2011,1,sauber,0,Disqualified
2011,1,sauber,0,Disqualified
2011,1,hrt,0,Did not qualify
2011,1,hrt,0,Did not qualify
2012,1,mclaren,25,Finished
2012,1,red_bull,18,Finished
2012,1,mclaren,15,Finished
2012,1,red_bull,12,Finished
2012,1,ferrari,10,Finished
2012,1,sauber,8,Finished
2012,1,lotus_f1,6,Finished
2012,1,sauber,4,Finished
2012,1,toro_rosso,2,Finished
2012,1,force_india,1,Finished
2012,1,toro_rosso,0,Finished
2012,1,mercedes,0,Finished
2012,1,williams,0,Accident
2012,1,marussia,0,+1 Lap
2012,1,marussia,0,+5 Laps
2012,1,williams,0,Collision
2012,1,ferrari,0,Collision
2012,1,caterham,0,Suspension
2012,1,caterham,0,Steering
2012,1,mercedes,0,Gearbox
2012,1,lotus_f1,0,Collision
2012,1,force_india,0,Collision
2012,1,hrt,0,Did not qualify
2012,1,hrt,0,Did not qualify
2013,1,lotus_f1,25,Finished
2013,1,ferrari,18,Finished
2013,1,red_bull,15,Finished
2013,1,ferrari,12,Finished
2013,1,mercedes,10,Finished
2013,1,red_bull,8,Finished
2013,1,force_india,6,Finished
2013,1,force_india,4,Finished
2013,1,mclaren,2,Finished
2013,1,lotus_f1,1,Finished
2013,1,mclaren,0,Finished
2013,1,toro_rosso,0,Finished
2013,1,sauber,0,+1 Lap
2013,1,williams,0,+1 Lap
2013,1,marussia,0,+1 Lap
2013,1,caterham,0,+2 Laps
2013,1,marussia,0,+2 Laps
2013,1,caterham,0,+2 Laps
2013,1,toro_rosso,0,Hydraulics
2013,1,mercedes,0,Electrical
2013,1,williams,0,Spun off
2013,1,sauber,0,Fuel system
2014,1,mercedes,25,Finished
2014,1,mclaren,18,Finished
2014,1,mclaren,15,Finished
2014,1,ferrari,12,Finished
2014,1,williams,10,Finished
2014,1,force_india,8,Finished
2014,1,ferrari,6,Finished
2014,1,toro_rosso,4,Finished
2014,1,toro_rosso,2,Finished
2014,1,force_india,1,Finished
2014,1,sauber,0,+1 Lap
2014,1,sauber,0,+1 Lap
2014,1,marussia,0,+2 Laps
2014,1,marussia,0,+8 Laps
2014,1,lotus_f1,0,ERS
2014,1,lotus_f1,0,ERS
2014,1,caterham,0,Oil pressure
2014,1,red_bull,0,Engine
2014,1,mercedes,0,Engine
2014,1,williams,0,Collision
2014,1,caterham,0,Collision
2014,1,red_bull,0,Disqualified
2015,1,mercedes,25,Finished
2015,1,mercedes,18,Finished
2015,1,ferrari,15,Finished
2015,1,williams,12,Finished
2015,1,sauber,10,Finished
2015,1,red_bull,8,+1 Lap
2015,1,force_india,6,+1 Lap
2015,1,sauber,4,+1 Lap
2015,1,toro_rosso,2,+1 Lap
2015,1,force_india,1,+1 Lap
2015,1,mclaren,0,+2 Laps
2015,1,ferrari,0,Wheel
2015,1,toro_rosso,0,Engine
2015,1,lotus_f1,0,Power loss
2015,1,lotus_f1,0,Accident
2015,1,red_bull,0,Withdrew
2015,1,mclaren,0,Withdrew
2015,1,williams,0,Withdrew
2016,1,mercedes,25,Finished
2016,1,mercedes,18,Finished
2016,1,ferrari,15,Finished
2016,1,red_bull,12,Finished
2016,1,williams,10,Finished
2016,1,haas,8,Finished
2016,1,force_india,6,Finished
2016,1,williams,4,Finished
2016,1,toro_rosso,2,Finished
2016,1,toro_rosso,1,Finished
2016,1,renault,0,Finished
2016,1,renault,0,Finished
2016,1,force_india,0,Finished
2016,1,mclaren,0,+1 Lap
2016,1,sauber,0,+1 Lap
2016,1,manor,0,+1 Lap
2016,1,sauber,0,Engine
2016,1,ferrari,0,Engine
2016,1,manor,0,Mechanical
2016,1,haas,0,Collision
2016,1,mclaren,0,Collision
2016,1,red_bull,0,Retired
2017,1,ferrari,25,Finished
2017,1,mercedes,18,Finished
2017,1,mercedes,15,Finished
2017,1,ferrari,12,Finished
2017,1,red_bull,10,Finished
2017,1,williams,8,Finished
2017,1,force_india,6,+1 Lap
2017,1,toro_rosso,4,+1 Lap
2017,1,toro_rosso,2,+1 Lap
2017,1,force_india,1,+1 Lap
2017,1,renault,0,+1 Lap
2017,1,sauber,0,+2 Laps
2017,1,mclaren,0,+2 Laps
2017,1,mclaren,0,Vibrations
2017,1,haas,0,Suspension
2017,1,williams,0,Brakes
2017,1,red_bull,0,Power Unit
2017,1,sauber,0,Hydraulics
2017,1,renault,0,Brakes
2017,1,haas,0,Water leak
2018,1,ferrari,25,Finished
2018,1,mercedes,18,Finished
2018,1,ferrari,15,Finished
2018,1,red_bull,12,Finished
2018,1,mclaren,10,Finished
2018,1,red_bull,8,Finished
2018,1,renault,6,Finished
2018,1,mercedes,4,Finished
2018,1,mclaren,2,Finished
2018,1,renault,1,Finished
2018,1,force_india,0,Finished
2018,1,force_india,0,Finished
2018,1,sauber,0,Finished
2018,1,williams,0,Finished
2018,1,toro_rosso,0,+1 Lap
2018,1,haas,0,Wheel
2018,1,haas,0,Wheel
2018,1,toro_rosso,0,Engine
2018,1,sauber,0,Steering
2018,1,williams,0,Brakes
2019,1,mercedes,26,Finished
2019,1,mercedes,18,Finished
2019,1,red_bull,15,Finished
2019,1,ferrari,12,Finished
2019,1,ferrari,10,Finished
2019,1,haas,8,Finished
2019,1,renault,6,+1 Lap
2019,1,alfa,4,+1 Lap
2019,1,racing_point,2,+1 Lap
2019,1,toro_rosso,1,+1 Lap
2019,1,red_bull,0,+1 Lap
2019,1,mclaren,0,+1 Lap
2019,1,racing_point,0,+1 Lap
2019,1,toro_rosso,0,+1 Lap
2019,1,alfa,0,+1 Lap
2019,1,williams,0,+2 Laps
2019,1,williams,0,+3 Laps
2019,1,haas,0,Wheel
2019,1,renault,0,Damage
2019,1,mclaren,0,Engine
2020,1,mercedes,25,Finished
2020,1,ferrari,18,Finished
2020,1,mclaren,16,Finished
2020,1,mercedes,12,Finished
2020,1,mclaren,10,Finished
2020,1,racing_point,8,Finished
