year,round,driverId,lap,position,time
2010,1,vettel,1,1,2:03.366
2010,1,vettel,2,1,2:02.517
2010,1,vettel,3,1,2:02.969
2010,1,vettel,4,1,2:02.723
2010,1,vettel,5,1,2:02.858
2010,1,vettel,6,1,2:02.675
2010,1,vettel,7,1,2:02.555
2010,1,vettel,8,1,2:02.656
2010,1,vettel,9,1,2:02.659
2010,1,vettel,10,1,2:02.631
2010,1,vettel,11,1,2:02.318
2010,1,vettel,12,1,2:02.653
2010,1,vettel,13,1,2:02.512
2010,1,vettel,14,1,2:02.408
2010,1,vettel,15,1,2:02.460
2010,1,vettel,16,1,2:02.394
2010,1,vettel,17,1,2:05.068
2010,1,vettel,18,1,2:20.578
2010,1,vettel,19,1,2:01.738
2010,1,vettel,20,1,2:01.506
2010,1,vettel,21,1,2:01.192
2010,1,vettel,22,1,2:00.999
2010,1,vettel,23,1,2:01.152
2010,1,vettel,24,1,2:00.569
2010,1,vettel,25,1,2:00.832
2010,1,vettel,26,1,2:00.724
2010,1,vettel,27,1,2:01.124
2010,1,vettel,28,1,2:00.320
2010,1,vettel,29,1,2:00.500
2011,1,vettel,1,1,1:38.109
2011,1,vettel,2,1,1:33.006
2011,1,vettel,3,1,1:32.713
2011,1,vettel,4,1,1:32.803
2011,1,vettel,5,1,1:32.342
2011,1,vettel,6,1,1:32.605
2011,1,vettel,7,1,1:32.502
2011,1,vettel,8,1,1:32.537
2011,1,vettel,9,1,1:33.240
2011,1,vettel,10,1,1:32.572
2011,1,vettel,11,1,1:32.669
2011,1,vettel,12,1,1:32.902
2011,1,vettel,13,1,1:33.698
2011,1,hamilton,14,1,1:32.984
2011,1,hamilton,15,1,1:33.186
2011,1,hamilton,16,1,1:52.039
2011,1,vettel,17,1,1:30.800
2011,1,vettel,18,1,1:31.810
2011,1,vettel,19,1,1:31.018
2011,1,vettel,20,1,1:31.055
2011,1,vettel,21,1,1:31.288
2011,1,vettel,22,1,1:31.084
2011,1,vettel,23,1,1:30.875
2011,1,vettel,24,1,1:32.240
2011,1,vettel,25,1,1:31.699
2011,1,vettel,26,1,1:31.328
2011,1,vettel,27,1,1:31.568
2011,1,vettel,28,1,1:31.113
2011,1,vettel,29,1,1:31.339
2012,1,button,1,1,1:39.264
2012,1,button,2,1,1:33.414
2012,1,button,3,1,1:33.350
2012,1,button,4,1,1:33.131
2012,1,button,5,1,1:32.984
2012,1,button,6,1,1:33.117
2012,1,button,7,1,1:33.244
2012,1,button,8,1,1:33.124
2012,1,button,9,1,1:33.394
2012,1,button,10,1,1:33.767
2012,1,button,11,1,1:33.985
2012,1,button,12,1,1:33.628
2012,1,button,13,1,1:33.970
2012,1,button,14,1,1:34.164
2012,1,button,15,1,1:34.645
2012,1,hamilton,16,1,1:36.403
2012,1,button,17,1,1:39.358
2012,1,button,18,1,1:33.348
2012,1,button,19,1,1:33.300
2012,1,button,20,1,1:32.880
2012,1,button,21,1,1:32.903
2012,1,button,22,1,1:33.141
2012,1,button,23,1,1:32.840
2012,1,button,24,1,1:32.701
2012,1,button,25,1,1:32.760
2012,1,button,26,1,1:32.152
2012,1,button,27,1,1:31.943
2012,1,button,28,1,1:31.788
2012,1,button,29,1,1:31.813
2013,1,vettel,1,1,1:39.646
2013,1,vettel,2,1,1:33.106
2013,1,vettel,3,1,1:33.550
2013,1,vettel,4,1,1:34.374
2013,1,vettel,5,1,1:34.496
2013,1,vettel,6,1,1:34.748
2013,1,massa,7,1,1:34.635
2013,1,alonso,8,1,1:34.696
2013,1,hamilton,9,1,1:33.935
2013,1,hamilton,10,1,1:33.746
2013,1,hamilton,11,1,1:33.197
2013,1,hamilton,12,1,1:33.208
2013,1,rosberg,13,1,1:34.468
2013,1,sutil,14,1,1:33.691
2013,1,sutil,15,1,1:33.438
2013,1,sutil,16,1,1:33.617
2013,1,sutil,17,1,1:33.200
2013,1,sutil,18,1,1:33.513
2013,1,sutil,19,1,1:33.371
2013,1,sutil,20,1,1:33.717
2013,1,massa,21,1,1:33.378
2013,1,massa,22,1,1:33.133
2013,1,raikkonen,23,1,1:33.112
2013,1,raikkonen,24,1,1:31.979
2013,1,raikkonen,25,1,1:32.490
2013,1,raikkonen,26,1,1:32.348
2013,1,raikkonen,27,1,1:32.313
2013,1,raikkonen,28,1,1:33.170
2013,1,raikkonen,29,1,1:33.112
2014,1,rosberg,1,1,1:42.038
2014,1,rosberg,2,1,1:37.687
2014,1,rosberg,3,1,1:35.765
2014,1,rosberg,4,1,1:34.939
2014,1,rosberg,5,1,1:35.438
2014,1,rosberg,6,1,1:34.977
2014,1,rosberg,7,1,1:35.417
2014,1,rosberg,8,1,1:34.550
2014,1,rosberg,9,1,1:34.217
2014,1,rosberg,10,1,1:34.364
2014,1,rosberg,11,1,1:35.185
2014,1,rosberg,12,1,2:14.269
2014,1,rosberg,13,1,2:29.953
2014,1,rosberg,14,1,2:21.208
2014,1,rosberg,15,1,2:14.486
2014,1,rosberg,16,1,1:33.976
2014,1,rosberg,17,1,1:34.040
2014,1,rosberg,18,1,1:33.195
2014,1,rosberg,19,1,1:32.478
2014,1,rosberg,20,1,1:33.331
2014,1,rosberg,21,1,1:32.839
2014,1,rosberg,22,1,1:33.144
2014,1,rosberg,23,1,1:33.213
2014,1,rosberg,24,1,1:33.936
2014,1,rosberg,25,1,1:33.941
2014,1,rosberg,26,1,1:34.539
2014,1,rosberg,27,1,1:35.588
2014,1,rosberg,28,1,1:35.416
2014,1,rosberg,29,1,1:34.069
2015,1,hamilton,1,1,2:22.988
2015,1,hamilton,2,1,2:26.005
2015,1,hamilton,3,1,2:13.785
2015,1,hamilton,4,1,1:33.493
2015,1,hamilton,5,1,1:32.765
2015,1,hamilton,6,1,1:32.685
2015,1,hamilton,7,1,1:32.593
2015,1,hamilton,8,1,1:32.899
2015,1,hamilton,9,1,1:32.933
2015,1,hamilton,10,1,1:32.911
2015,1,hamilton,11,1,1:32.742
2015,1,hamilton,12,1,1:32.432
2015,1,hamilton,13,1,1:32.491
2015,1,hamilton,14,1,1:33.033
2015,1,hamilton,15,1,1:33.177
2015,1,hamilton,16,1,1:32.458
2015,1,hamilton,17,1,1:32.148
2015,1,hamilton,18,1,1:32.462
2015,1,hamilton,19,1,1:32.347
2015,1,hamilton,20,1,1:32.306
2015,1,hamilton,21,1,1:31.940
2015,1,hamilton,22,1,1:32.405
2015,1,hamilton,23,1,1:32.791
2015,1,hamilton,24,1,1:32.925
2015,1,rosberg,25,1,1:33.964
2015,1,rosberg,26,1,1:51.568
2015,1,hamilton,27,1,1:33.021
2015,1,hamilton,28,1,1:33.241
2015,1,hamilton,29,1,1:32.824
2016,1,vettel,1,1,1:36.916
2016,1,vettel,2,1,1:31.664
2016,1,vettel,3,1,1:32.167
2016,1,vettel,4,1,1:32.014
2016,1,vettel,5,1,1:32.273
2016,1,vettel,6,1,1:32.204
2016,1,vettel,7,1,1:32.080
2016,1,vettel,8,1,1:32.289
2016,1,vettel,9,1,1:32.578
