year,round,driverId,stop,lap,time,duration
2011,1,alguersuari,1,1,17:05:23,26.898
2011,1,michael_schumacher,1,1,17:05:52,25.021
2011,1,webber,1,11,17:20:48,23.426
2011,1,alonso,1,12,17:22:34,23.251
2011,1,massa,1,13,17:24:10,23.842
2011,1,barrichello,1,13,17:24:29,23.643
2011,1,vettel,1,14,17:25:17,22.603
2011,1,resta,1,14,17:26:03,24.863
2011,1,ambrosio,1,14,17:26:50,25.259
2011,1,buemi,1,15,17:27:34,25.342
2011,1,heidfeld,1,15,17:27:41,22.994
2011,1,hamilton,1,16,17:28:24,23.227
2011,1,petrov,1,16,17:28:39,24.535
2011,1,rosberg,1,16,17:29:00,23.716
2011,1,kobayashi,1,16,17:29:06,24.064
2011,1,sutil,1,16,17:29:08,25.978
2011,1,trulli,1,16,17:29:49,24.899
2011,1,button,1,17,17:30:24,16.867
2011,1,alguersuari,2,17,17:31:06,24.463
2011,1,kovalainen,1,17,17:31:11,24.865
2011,1,michael_schumacher,2,17,17:32:08,23.988
2011,1,glock,1,18,17:33:02,23.792
2011,1,button,2,19,17:33:53,23.303
2011,1,perez,1,23,17:40:27,23.438
2011,1,barrichello,2,23,17:40:45,37.856
2011,1,webber,2,26,17:44:29,22.520
2011,1,alonso,2,27,17:46:04,24.733
2011,1,barrichello,3,28,17:49:07,16.892
2011,1,buemi,2,29,17:49:47,23.100
2011,1,heidfeld,2,30,17:51:32,25.098
2012,1,bruno_senna,1,1,17:05:23,24.599
2012,1,ricciardo,1,1,17:05:35,32.319
2012,1,massa,1,11,17:21:08,22.313
2012,1,rosberg,1,12,17:22:31,23.203
2012,1,alonso,1,13,17:24:04,22.035
2012,1,kobayashi,1,13,17:24:20,25.346
2012,1,resta,1,13,17:24:21,24.933
2012,1,webber,1,14,17:25:41,23.302
2012,1,kovalainen,1,14,17:26:12,24.397
2012,1,button,1,16,17:28:30,23.275
2012,1,vettel,1,16,17:28:41,24.256
2012,1,maldonado,1,16,17:28:53,23.427
2012,1,hamilton,1,17,17:30:12,22.862
2012,1,petrov,1,18,17:32:32,24.579
2012,1,raikkonen,1,19,17:33:43,24.881
2012,1,vergne,1,19,17:33:54,23.203
2012,1,glock,1,20,17:36:09,26.322
2012,1,pic,1,21,17:37:59,25.303
2012,1,ricciardo,2,22,17:39:23,23.257
2012,1,perez,1,24,17:41:45,23.882
2012,1,massa,2,28,17:48:15,22.528
2012,1,bruno_senna,2,30,17:51:46,23.777
2012,1,rosberg,2,31,17:52:34,23.017
2012,1,resta,2,33,17:55:58,24.579
2012,1,alonso,2,34,17:57:06,21.910
2012,1,kovalainen,2,34,17:58:11,24.580
2012,1,button,2,36,17:59:44,22.837
2012,1,hamilton,2,36,17:59:54,23.464
2012,1,kobayashi,2,36,18:00:33,24.162
2012,1,pic,2,35,18:01:35,48.984
2013,1,button,1,4,17:09:54,22.282
2013,1,webber,1,5,17:11:28,24.240
2013,1,grosjean,1,5,17:11:33,22.239
2013,1,gutierrez,1,5,17:11:35,22.316
2013,1,bottas,1,6,17:13:14,23.528
2013,1,chilton,1,6,17:13:26,36.564
2013,1,vettel,1,7,17:14:25,21.807
2013,1,garde,1,7,17:15:07,24.104
2013,1,massa,1,8,17:16:00,21.754
2013,1,resta,1,8,17:16:13,23.010
2013,1,pic,1,8,17:16:47,23.394
2013,1,alonso,1,9,17:17:35,21.792
2013,1,raikkonen,1,9,17:17:36,22.709
2013,1,vergne,1,9,17:17:54,23.074
2013,1,jules_bianchi,1,9,17:18:08,23.371
2013,1,maldonado,1,10,17:19:36,23.099
2013,1,hamilton,1,13,17:23:56,22.155
2013,1,rosberg,1,14,17:25:35,22.274
2013,1,ricciardo,1,15,17:27:32,23.435
